"filename", "language", "YAML", "Markdown", "JSON", "HTML", "Dart", "Properties", "XML", "comment", "blank", "total"
"c:\Users\EK\Desktop\untitled2\lib\features\auth\register\data\models\register_response.dart", "Dart", 0, 0, 0, 0, 12, 0, 0, 0, 6, 18
"c:\Users\EK\Desktop\untitled2\lib\features\auth\register\data\models\register_response.g.dart", "Dart", 0, 0, 0, 0, 8, 0, 0, 4, 5, 17
"c:\Users\EK\Desktop\untitled2\lib\features\auth\register\data\repos\register_repo.dart", "Dart", 0, 0, 0, 0, 20, 0, 0, 0, 3, 23
"c:\Users\EK\Desktop\untitled2\lib\features\auth\register\logic\cubit\register_cubit.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 6, 43
"c:\Users\EK\Desktop\untitled2\lib\features\auth\register\logic\cubit\register_state.dart", "Dart", 0, 0, 0, 0, 10, 0, 0, 0, 4, 14
"c:\Users\EK\Desktop\untitled2\lib\features\auth\register\logic\cubit\register_state.freezed.dart", "Dart", 0, 0, 0, 0, 514, 0, 0, 42, 78, 634
"c:\Users\EK\Desktop\untitled2\lib\features\auth\register\ui\fill_profile.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 5, 42
"c:\Users\EK\Desktop\untitled2\lib\features\auth\register\ui\register_screen.dart", "Dart", 0, 0, 0, 0, 64, 0, 0, 1, 8, 73
"c:\Users\EK\Desktop\untitled2\lib\features\auth\register\ui\widgets\fill_profile_form.dart", "Dart", 0, 0, 0, 0, 65, 0, 0, 0, 5, 70
"c:\Users\EK\Desktop\untitled2\lib\features\auth\register\ui\widgets\register_bloc_listener.dart", "Dart", 0, 0, 0, 0, 43, 0, 0, 2, 4, 49
"c:\Users\EK\Desktop\untitled2\lib\features\auth\register\ui\widgets\register_form.dart", "Dart", 0, 0, 0, 0, 109, 0, 0, 0, 6, 115
"c:\Users\EK\Desktop\untitled2\lib\features\formations\My formations\data\models\my_formations_response.dart", "Dart", 0, 0, 0, 0, 13, 0, 0, 0, 6, 19
"c:\Users\EK\Desktop\untitled2\lib\features\formations\My formations\data\models\my_formations_response.g.dart", "Dart", 0, 0, 0, 0, 11, 0, 0, 4, 5, 20
"c:\Users\EK\Desktop\untitled2\lib\features\formations\My formations\data\repo\my_formation_repo.dart", "Dart", 0, 0, 0, 0, 16, 0, 0, 0, 4, 20
